,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee
2059,4699,2013,1,0,V,N,3,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,2004.0,1,1980.0,0.0,   7,15014
2060,16330,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,424.0,2,1900.0,0.3,   3,30189
2061,9959,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1050.0,2,1960.0,0.0,   .,13205
2062,3762,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5600.0,1,1980.0,0.0,   .,13047
2063,15406,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,3200.0,2,1982.0,0.3,   4,66020
2064,18615,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,10500.0,2,2006.0,0.0,   2,95042
2065,17317,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2750.0,2,1960.0,0.0,   4,64102
2066,18070,2014,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1300.0,2,1990.0,0.0,   5,62826
2067,6328,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2712.0,2,1988.0,0.0,   .,30341
2068,6688,2013,"0,263013699",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2800.0,1,,0.0,   .,74224
2069,7239,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,910.0,2,1980.0,0.0,   .,13001
2070,6957,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,780.0,2,1980.0,0.0,   .,34172
2071,38,2016,"0,030054645",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2300.0,2,1934.0,0.0,   7,13206
2072,12569,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,358.0,2,1960.0,0.6,   3,31042
2073,11255,2016,"0,745901639",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1140.0,2,1980.0,0.0,   .,42218
2074,19007,2015,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2448.0,3,1975.0,0.0,   9,93031
2075,8414,2012,"0,415300546",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,501.0,2,,0.0,   .,13201
2076,5436,2014,"0,545205479",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2220.0,1,1988.0,0.0,   .,73137
2077,8093,2014,"0,643835616",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,692.0,2,,0.0,   .,62516
2078,16175,2012,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4909.0,2,2010.0,0.3,   5,31555
2079,17148,2013,0,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2400.0,2,1970.0,0.0,   7,95428
2080,16955,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,430.0,2,1960.0,0.0,   3,13210
2081,14066,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5154.0,2,1960.0,0.0,   .,77284
2082,11295,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,656.0,2,1988.0,0.0,   .,34217
2083,8129,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,2,,0.0,   .,30007
2084,9090,2014,"0,915068493",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800.0,3,,0.0,   .,59368
2085,12641,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,2,1960.0,0.0,   .,13213
2086,17382,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,440.0,2,1900.0,0.0,   4,13203
2087,16752,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,181.0,3,1964.0,0.3,   2,94038
2088,1527,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1450.0,2,1960.0,0.0,   .,83126
2089,10375,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,1,540.0,2,1960.0,0.0,   .,13207
2090,8401,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5578.0,1,1960.0,0.0,   .,13056
2091,1072,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,752.0,1,1988.0,0.0,   .,74085
2092,6165,2015,"0,98630137",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,650.0,4,1990.0,0.0,   4,06007
2093,2377,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,1,1980.0,0.0,   .,13117
2094,18998,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1250.0,2,1977.0,0.0,   3,65017
2095,11249,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650.0,2,1960.0,0.0,   .,83137
2096,1529,2016,"0,24863388",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300.0,2,1980.0,0.0,   .,34902
2097,6050,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,340.0,2,1960.0,0.0,   .,29019
2098,17788,2013,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,395.0,4,1920.0,0.3,   3,06088
2099,8926,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1455.0,4,,0.0,   .,06083
2100,9787,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650.0,1,1960.0,0.0,   .,74010
2101,3721,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,643.0,1,,0.0,   .,42187
2102,8661,2013,"0,356164384",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,2,,0.0,   .,68226
2103,13902,2014,1,1,V,N,2,O,1,N,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1052.0,2,1977.0,0.6,   5,76351
2104,12134,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550.0,2,1960.0,0.0,   .,13206
2105,134,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,956.0,2,1960.0,0.0,   .,64407
2106,10073,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,1450.0,2,1975.0,0.6,   4,67180
2107,11932,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1156.0,2,1960.0,0.0,   .,63113
2108,13443,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1180.0,2,1980.0,0.0,   .,83118
2109,902,2013,"0,838356164",1,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,450.0,4,,0.0,   .,75113
2110,7365,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,1,1960.0,0.0,   .,88383
2111,17616,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,1,365.0,4,1870.0,0.0,   4,06159
2112,417,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,O,base,2,1050.0,2,1980.0,0.0,   .,11262
2113,8465,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3200.0,4,,0.0,   .,06088
2114,14007,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,840.0,2,1988.0,0.0,   .,67180
2115,8373,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1600.0,3,1963.0,0.3,   3,2A004
2116,3971,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,1,1960.0,0.0,   .,91174
2117,14748,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,960.0,3,1960.0,0.0,   .,93066
2118,8911,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5200.0,4,1960.0,0.0,   .,06083
2119,1632,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2700.0,2,1989.0,0.0,   3,38158
2120,13427,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2235.0,4,1960.0,0.0,   .,06027
2121,17280,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,1,1460.0,2,2011.0,0.3,   5,90089
2122,14213,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,290.0,3,1960.0,0.0,   .,94003
2123,5316,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1080.0,4,1960.0,0.0,   .,06083
2124,17298,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3147.0,2,1996.0,0.0,   5,83036
2125,8307,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,4,1980.0,0.0,   .,06088
2126,2609,2013,"0,416438356",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,770.0,1,1980.0,0.0,   .,12202
2127,5417,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,841.0,1,,0.0,   .,74169
2128,4661,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2410.0,1,1988.0,0.0,   .,19031
2129,16739,2012,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1775.0,3,2010.0,0.0,   2,2B042
2130,4103,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3186.0,2,1960.0,0.0,   .,69091
2131,8674,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,382.0,1,,0.0,   .,91223
2132,10523,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,420.0,1,2001.0,0.0,   3,63032
2133,5763,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1130.0,2,1955.0,0.0,   5,63113
2134,7900,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1260.0,2,1988.0,0.0,   .,68224
2135,2570,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600.0,1,1990.0,0.0,   4,63032
2136,15745,2014,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,2910.0,3,1930.0,0.0,   8,92025
2137,8413,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,2,,0.0,   .,13215
2138,2418,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1024.0,1,1960.0,0.0,   .,05168
2139,13149,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4400.0,3,1988.0,0.0,   .,2A004
2140,4485,2013,"0,997260274",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,500.0,4,1960.0,0.0,   4,06083
2141,6579,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1330.0,1,1954.0,0.0,   4,63075
2142,2362,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1300.0,2,2000.0,0.0,   4,63113
2143,16670,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1990.0,V,   .,
2144,16821,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1600.0,2,1999.0,0.6,   5,67169
2145,17155,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,5100.0,3,2002.0,0.0,   3,94060
2146,7837,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,280.0,2,1960.0,0.0,   .,13206
2147,18634,2014,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2315.0,1,1972.0,0.0,   5,16374
2148,9359,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550.0,2,,0.0,   .,78601
2149,18432,2013,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,3000.0,3,2006.0,0.0,   3,94068
2150,9691,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1610.0,2,1960.0,0.0,   .,13203
2151,13394,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,660.0,3,1960.0,0.0,   .,93055
2152,16275,2012,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2882.0,1,2009.0,0.0,   4,44109
2153,10111,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,2,,0.0,   .,13205
2154,17889,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,10200.0,1,1971.0,0.0,   4,17300
2155,3360,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,850.0,3,,0.0,   .,67482
2156,5265,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,3,1960.0,0.0,   .,94080
2157,9274,2013,"0,260273973",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,525.0,4,,0.0,   .,75112
2158,17083,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,800.0,2,1964.0,0.0,   3,95018
2159,15198,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2205.0,4,1990.0,0.0,   7,06088
2160,215,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1837.0,2,1980.0,0.0,   .,14118
2161,1622,2013,1,1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,300.0,4,1920.0,0.6,   3,06012
2162,19247,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,900.0,1,2013.0,0.6,   4,74243
2163,4353,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,2,,0.0,   .,13001
2164,13899,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,500.0,4,1950.0,0.0,   5,06083
2165,16291,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,4783.0,2,2007.0,0.0,   3,66172
2166,13916,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,467.0,2,1960.0,0.0,   .,69383
2167,14754,2013,"0,120547945",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,950.0,3,1960.0,0.0,   .,67482
2168,9096,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,3,,0.0,   .,59350
2169,12906,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1355.0,4,1980.0,0.0,   .,75115
2170,13873,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3339.0,2,1988.0,0.6,   5,83069
2171,16899,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,499.0,2,1950.0,0.6,   4,83050
2172,3839,2015,"0,983561644",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,68.0,2,1960.0,0.0,   .,13216
2173,1928,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,524.0,2,1960.0,0.0,   .,21231
2174,1318,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,3,1960.0,0.0,   .,54395
2175,1929,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,524.0,2,1960.0,0.0,   .,21231
2176,12152,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,90.0,1,1980.0,0.0,   .,21054
2177,1339,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,920.0,2,1960.0,0.0,   .,34032
2178,8835,2014,"0,235616438",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2201.0,4,,0.0,   .,06104
2179,13963,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1989.0,2,1980.0,0.0,   .,62643
2180,5504,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,1,,0.0,   .,73011
2181,2363,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1016.0,1,1980.0,0.0,   .,73006
2182,5030,2016,"0,99726776",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,6417.0,2,1998.0,0.0,   2,64024
2183,9675,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,2,1960.0,0.0,   .,13204
2184,5495,2012,"0,415300546",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,1,1960.0,0.0,   .,42187
2185,2411,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1200.0,2,1900.0,0.6,   5,64422
2186,11269,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4642.0,2,1988.0,0.0,   .,31091
2187,16502,2012,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,740.0,4,1970.0,0.0,   4,06030
2188,8985,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,80.0,2,1960.0,0.0,   .,44109
2189,17535,2012,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,6315.0,2,2008.0,0.0,   4,77169
2190,19308,2013,"0,252054795",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,300.0,2,1900.0,0.6,   3,78650
2191,12237,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3638.0,2,1988.0,0.0,   .,83061
2192,9076,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,385.0,3,,0.0,   .,59350
2193,11478,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,390.0,2,1980.0,0.0,   .,83110
2194,4366,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4967.0,2,1980.0,0.0,   .,56121
2195,18676,2012,"0,546448087",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,6000.0,2,2012.0,0.0,   3,13213
2196,10055,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,370.0,2,1960.0,0.0,   3,13209
2197,8456,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,4,,0.0,   .,06121
2198,7398,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,50.0,1,1980.0,0.0,   .,13041
2199,15393,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,810.0,2,1900.0,0.0,   4,42218
2200,17589,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,305.0,1,2000.0,0.3,   3,74104
2201,15877,2013,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,909.0,3,1903.0,1.0,   6,67482
2202,11980,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,600.0,2,1950.0,0.0,   5,13206
2203,1946,2013,1,1,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,714.0,2,1965.0,0.0,   3,64122
2204,7191,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2200.0,4,1930.0,0.0,   7,75118
2205,11794,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4169.0,2,1980.0,0.0,   .,56034
2206,2014,2014,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,1,500.0,2,1972.0,0.0,   4,68142
2207,8624,2013,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1380.0,2,1971.0,0.0,   5,26362
2208,12710,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2200.0,1,1960.0,0.0,   .,84007
2209,17509,2016,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2304.0,2,1970.0,0.0,   6,34032
2210,5915,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,612.0,2,1985.0,0.0,   3,76613
2211,8548,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,4,,0.0,   .,06004
2212,11768,2014,"0,871232877",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,610.0,4,1960.0,0.0,   .,06083
2213,14531,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,665.0,1,1980.0,0.0,   .,27355
2214,2366,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,915.0,2,1988.0,0.0,   2,83119
2215,7968,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1050.0,1,1980.0,0.0,   .,42186
2216,13801,2013,"0,073972603",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,120.0,1,1960.0,0.0,   .,22050
2217,9575,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,2,1960.0,0.0,   .,13205
2218,6316,2013,"0,315068493",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3450.0,4,2003.0,0.0,   7,06083
2219,16165,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,1576.0,2,1900.0,0.0,   5,64417
2220,11550,2013,"0,789041096",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8700.0,4,1980.0,0.0,   .,06004
2221,10603,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,670.0,2,1850.0,0.0,   6,66136
2222,4010,2014,"0,58630137",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1975.0,2,1960.0,0.0,   .,42218
2223,16790,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,498.0,1,1983.0,0.0,   2,13103
2224,12197,2015,"0,41369863",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1013.0,4,1960.0,0.0,   .,75116
2225,9780,2014,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,650.0,2,1980.0,0.0,   4,51454
2226,12053,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5006.0,2,1988.0,0.0,   .,31048
2227,14859,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1175.0,3,1960.0,0.0,   .,94002
2228,6575,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,570.0,4,1988.0,0.0,   3,06004
2229,9145,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,4,,0.0,   .,06088
2230,7581,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,2,1960.0,0.0,   .,13001
2231,8380,2016,"0,99726776",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,4100.0,3,1970.0,0.6,   8,2A004
2232,18995,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,2160.0,4,1930.0,0.0,   6,75109
2233,5963,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,446.0,2,1960.0,0.0,   .,26362
2234,14173,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1230.0,2,1980.0,0.0,   .,13001
2235,17031,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2143.0,1,2000.0,0.6,   3,74016
2236,12362,2013,"0,246575342",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1730.0,1,1988.0,0.0,   .,74105
2237,16546,2013,"0,495890411",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,5414.0,1,2007.0,0.0,   5,13047
2238,2990,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,1,980.0,2,1915.0,0.0,   5,42218
2239,7190,2013,"0,945205479",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,470.0,3,1960.0,0.0,   .,54395
2240,8263,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1220.0,3,,0.0,   .,2B298
2241,171,2015,"0,526027397",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,1960.0,0.0,   .,83123
2242,14856,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,480.0,4,1960.0,0.0,   .,06083
2243,1245,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,150.0,3,1960.0,0.0,   .,59350
2244,2709,2013,"0,216438356",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3752.0,2,1960.0,0.0,   .,38563
2245,11476,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,2,1960.0,0.0,   .,13202
2246,15370,2014,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,175.0,3,1950.0,0.3,   1,94080
2247,797,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500.0,1,1988.0,0.0,   .,74143
2248,10125,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1750.0,2,1960.0,0.0,   .,13201
2249,9409,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,390.0,2,,0.0,   .,69069
2250,12015,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,900.0,2,1950.0,0.3,   3,34165
2251,14073,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,885.0,2,1960.0,0.0,   .,51454
2252,18708,2013,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3803.0,1,1970.0,0.0,>=10,33192
2253,9861,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3062.0,1,1980.0,0.0,   .,42094
2254,6277,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1520.0,1,1980.0,0.0,   .,54043
2255,12155,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420.0,1,1980.0,0.0,   .,21054
2256,6376,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200.0,3,1960.0,0.0,   .,38185
